oppo r17 全网通 6+128g 新年红,手机,1638.00,3199.00,非全新,广东东莞 ,http://2.taobao.com/item.htm?id=593944205129
荣耀8x,手机,1420.00,1899.00,全新,江西赣州 瑞金市,http://2.taobao.com/item.htm?id=593951373221
VIVO X27（8G+256G）雀羽蓝,手机,3298.00,3598.00,全新,贵州贵阳 花溪区,http://2.taobao.com/item.htm?id=593952661861
自用小米max3,手机,1399.00,1899.00,非全新,广东湛江 麻章区,http://2.taobao.com/item.htm?id=593956921188
处理全新荣耀7x,手机,980.00,1700.00,非全新,天津天津 静海区,http://2.taobao.com/item.htm?id=593951601545
华为nova3,手机,2000.00,2799.00,非全新,广东广州 白云区,http://2.taobao.com/item.htm?id=593969287568
VIVO NEX 6+128g大红色 成色新,手机,1850.00,4000.00,非全新,浙江湖州 吴兴区,http://2.taobao.com/item.htm?id=593451922222
魅蓝u20 3+32全网通4g双卡双待吃鸡游戏学生备用手机,手机,299.00,5288.00,非全新,重庆重庆 渝中区,http://2.taobao.com/item.htm?id=593451951320
华为mata20por8+128G翡翠冷 外观全新，各方面保,手机,4800.00,6999.00,非全新,四川宜宾 翠屏区,http://2.taobao.com/item.htm?id=593452312407
华为p30   8+128,手机,4288.00,4288.00,全新,上海上海 浦东新区,http://2.taobao.com/item.htm?id=593453729277
三星和飞利浦,手机,20.00,888.00,非全新,广东揭阳 揭西县,http://2.taobao.com/item.htm?id=593480726434
荣耀V9play,手机,460.00,999.00,非全新,安徽芜湖 镜湖区,http://2.taobao.com/item.htm?id=593584492385
iphone7p  128G黑色,手机,2000.00,7900.00,非全新,湖北武汉 汉阳区,http://2.taobao.com/item.htm?id=593606304710
6+128，盒子配件，无线充都齐全！原装无锁99新小米mix,手机,2800.00,3333.00,非全新,广东深圳 盐田区,http://2.taobao.com/item.htm?id=591921609951
诺基亚直板功能机,手机,120.00,399.00,非全新,河南焦作 博爱县,http://2.taobao.com/item.htm?id=591952894002
苹果6手机国行玫瑰金32g原装正品,手机,899.00,2587.00,非全新,河北衡水 武邑县,http://2.taobao.com/item.htm?id=591954411101
Apple/苹果 iPhone X 8X 全面屏&hellip;,手机,4500.00,6088.00,非全新,江苏常州 钟楼区,http://2.taobao.com/item.htm?id=591995283025
华为手机9.9成新 华为nova4e,手机,2000.00,2299.00,全新,内蒙古呼和浩特 回民区,http://2.taobao.com/item.htm?id=593902050114
HTC U11eyes,手机,800.00,1999.00,非全新,吉林延边朝鲜族 延吉市,http://2.taobao.com/item.htm?id=592697113598
oppor9s,手机,1200.00,2590.00,非全新,山东青岛 即墨区,http://2.taobao.com/item.htm?id=592713055995
美图m8s 金色HelloKitty 128G内存9.99新,手机,888.88,1799.00,非全新,山东临沂 兰山区,http://2.taobao.com/item.htm?id=592819253429
iphone se 9.3系统，国行，粉色，国行，三网通，,手机,999.00,3299.00,非全新,北京北京 顺义区,http://2.taobao.com/item.htm?id=593325649637
华为 HUAWEI P20 Pro,手机,1042.00,1042.00,非全新,山东德州 德城区,http://2.taobao.com/item.htm?id=593326481325
自用vivox9sl,手机,700.00,1999.00,非全新,辽宁沈阳 大东区,http://2.taobao.com/item.htm?id=593442158585
移动版华为畅享9plus转让,手机,999.00,1890.00,非全新,浙江嘉兴 桐乡市,http://2.taobao.com/item.htm?id=593451792758
魅族手机自己用的魅蓝note5闲置低价出,手机,600.00,1299.00,非全新,新疆乌鲁木齐 天山区,http://2.taobao.com/item.htm?id=592648159038
三星S7美版全网通4G运行32G内存屏幕有小点480,手机,480.00,480.00,非全新,广东潮州 潮安区,http://2.taobao.com/item.htm?id=592648630877
oppo r17全新未拆封手机 r17 r15r11s,手机,1999.00,3498.00,全新,河北石家庄 长安区,http://2.taobao.com/item.htm?id=592648682431
HTC U11eyes,手机,800.00,1999.00,非全新,吉林延边朝鲜族 延吉市,http://2.taobao.com/item.htm?id=592697113598
华为畅享9s   麒麟710 处理器128G内存,手机,1500.00,1599.00,全新,广西桂林 灵川县,http://2.taobao.com/item.htm?id=592695806183
诺基亚6120c直板老人手机移动联通3g手机学生备用智能手机,手机,70.00,168.00,全新,广东深圳 福田区,http://2.taobao.com/item.htm?id=593611577180
OPPO R17 8g+128g 蓝色 移动全网通,手机,1698.00,3298.00,非全新,广东深圳 宝安区,http://2.taobao.com/item.htm?id=593611604138
OppOR9S手机,手机,480.00,1890.00,全新,广东佛山 南海区,http://2.taobao.com/item.htm?id=593612592301
99新魅族，全网通魅蓝E 八核cpu+大运存，支持指纹解锁,手机,319.00,1799.00,非全新,广东揭阳 榕城区,http://2.taobao.com/item.htm?id=593615626215
小米mix3 8+256,手机,2780.00,3999.00,非全新,四川成都 都江堰市,http://2.taobao.com/item.htm?id=593643861745
VIVO X27 全网雀羽蓝8＋128G,手机,2799.00,3198.00,全新,四川成都 郫都区,http://2.taobao.com/item.htm?id=592951862339
6s Plus玫瑰金,手机,950.00,5600.00,非全新,山西运城 稷山县,http://2.taobao.com/item.htm?id=592952982553
